grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,saleAmt,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmtCategory
0.012133588,0.021875,0.014162594,0.021875,0.005791506,0.005802708,0.008290155,0.013810843,0.011472391,0.008692131,0.017985945,0.008544417,0.007722008,0.008196682,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.017734936,0.436773031,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.007451561,0.016344294,0.009031051,0.016344294,0.001930502,0.005802708,0.009326425,0.007004353,0.007919003,0.006969685,0.014431015,0.007377617,0.005791506,0.012465288,0.042015133,0,0.04276895,0.104258282,0.001111651,0.205161964,0.02196249,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.006112264,0.010747099,0.010809366,0.010747099,0.003861004,0.005802708,0.005181347,0.007004353,0.005908134,0.005548108,0.011497174,0.005872435,0.005791506,0.00681538,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.014401039,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Standard Price
0.007479118,0.00919971,0.00473055,0.00919971,0.003861004,0.005802708,0.008290155,0.006212901,0.006082041,0.005183317,0.010744185,0.005486189,0.007722008,0.00458995,0.042015133,0,0.04276895,0.055104278,0.001111651,0,0.014162891,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.006613811,0.00684236,0.007055145,0.00684236,0.001930502,0.003868472,0.006217617,0.010645034,0.005668641,0.005502219,0.01140241,0.005823839,0.003861004,0.008628339,0.042015133,0,0.04276895,0.055104278,0.001111651,0.646631196,0.018162442,0.135516671,0.029006217,0.117893133,0.82536183,0.086620281,Premium Price
0.009093991,0.008184236,0.008345295,0.008184236,0.001930502,0.003868472,0.006217617,0.009180847,0.006949807,0.006517312,0.013497462,0.006898637,0.005791506,0.008235051,0.042015133,0,0.04276895,0.104258282,0.001111651,0.205161964,0.01465629,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.007313773,0.008637573,0.008781157,0.008637573,0.001930502,0.005802708,0.005181347,0.010170162,0.005883515,0.005648635,0.01170463,0.005978871,0.005791506,0.008076777,0.042015133,0,0.04276895,0.104258282,0.001111651,0.205161964,0.0177517,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.005911094,0.009628868,0.009734241,0.009628868,0.001930502,0.005802708,0.005181347,0.009220419,0.004049311,0.005229831,0.010840229,0.005535437,0.003861004,0.005606742,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.015169904,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Standard Price
0.008267264,0.018133462,0.008932255,0.018133462,0.001930502,0.005802708,0.008290155,0.010645034,0.006572055,0.006626589,0.013722847,0.007014336,0.005791506,0.010546813,0.042015133,0,0.04276895,0.104258282,0,0.205161964,0.018103338,0.135516671,0.051450964,0.121542658,0.442126971,0.086620281,Premium Price
0.011711957,0.018882979,0.012285483,0.018882979,0.003861004,0.003868472,0.008290155,0.008389395,0.011052098,0.00833725,0.017253445,0.008825632,0.007722008,0.013659538,0.042015133,0,0.04276895,0.055104278,0.001111651,0.191555693,0.023145256,0.436773031,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.006966548,0.012421422,0.012419148,0.012421422,0.003861004,0.003868472,0.006217617,0.007657301,0.006710315,0.007839613,0.016226408,0.008298728,0.005791506,0.007755433,0.042015133,0,0.04276895,0.055104278,0,0.205161964,0.01618858,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
0.005836688,0.004678433,0.004974633,0.004678433,0.001930502,0.005802708,0.007253886,0.007795805,0.002076847,0.004638541,0.009619823,0.004909365,0.003861004,0.004743428,0.042015133,0,0.04276895,0.104258282,0.001111651,0.205161964,0.015752765,0,0.029006217,0.117893133,0.82536183,0.086620281,Budget-Friendly Price
0.005709924,0.009501934,0.009612199,0.009501934,0.001930502,0.003868472,0.005181347,0.008191531,0.003373178,0.00508279,0.010536729,0.005379733,0.003861004,0.004043185,0.042015133,0,0.04276895,0.055104278,0.001111651,0.205161964,0.013621384,0.135516671,0.051450964,0.121542658,0.82536183,0.086620281,Budget-Friendly Price
