grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
2958.0,1308.0,1308.0,1308.0,1.0,3.0,7.0,528.0,8271.0,53724.0,773000.0,4343.62,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2023-07-18,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,856000.0
3490.0,2922.0,2922.0,2922.0,1.0,4.0,9.0,568.0,19057.0,64420.0,926900.0,5336.9,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2022-04-27,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1453000.0
10261.0,6236.0,3264.0,6236.0,5.0,3.0,2.0,877.0,156062.0,203683.0,2930700.0,19927.32,7.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,STUCCO,2015-07-15,EXCELLENT,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,2625000.0
4039.0,1791.0,1254.0,1791.0,2.0,4.0,10.0,1027.0,46463.471712990344,13799.0,198550.0,1380.78,3.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,HOT WATER,None,MARBLECRETE,2018-08-07,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1310000.0
5497.0,4795.0,3226.0,4795.0,2.0,3.0,10.0,702.0,54307.0,93679.0,1347900.0,9274.73,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,CENTRAL,MARBLECRETE,2022-09-26,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,2100000.0
1680.0,840.0,840.0,840.0,1.0,3.0,5.0,495.44229852169764,16812.0,37405.0,538200.0,3686.46,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,MARBLECRETE,2023-05-08,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,550000.0
4957.0,3006.0,1829.0,3006.0,1.0,4.0,10.0,1055.0,69736.0,120839.0,1738700.0,11835.7,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2017-01-18,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1408000.0
5488.0,2600.0,2600.0,2600.0,2.0,4.0,9.0,680.0,46463.471712990344,15554.0,223800.0,1519.2,3.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2022-09-12,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1450000.0
6719.0,3767.0,2212.0,3767.0,2.0,6.0,14.0,740.0,94889.0,121000.0,1741000.0,11851.44,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,CENTRAL,STUCCO,2017-10-02,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1825000.0
5736.0,3110.0,1970.0,3110.0,1.0,3.0,8.0,672.0,56663.0,88577.0,1274500.0,8005.74,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,EVAPORATIVE,MARBLECRETE,2023-06-12,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1600000.0
46090.0,2388.0,2388.0,2388.0,1.0,4.0,6.0,910.0,7221.0,10527.0,36300.0,6576.8581297486635,1.0,EXEMPT (FULL OR PARTIAL),OTHER / UNKNOWN,TAX EXEMPT,FORCED AIR,None,BRICK VENEER,2018-06-12,AVERAGE,WOOD FRAME,WOOD,"Garage, Detached",COMMERCIAL,1750000.0
3410.0,2514.0,2514.0,2514.0,1.0,3.0,12.0,1968.0,22484.0,72927.0,1049310.0,7156.0,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,CENTRAL,BRICK VENEER,2016-12-16,GOOD,MASONRY,MASONRY,Mixed,CONVENTIONAL HOUSE,755500.0
