CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,EXCELLENT,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  DETACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  DETACHED,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,CARPORT,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,PRE FAB,GARAGE  ATTACHED,COMMERCIAL
NONE,AVERAGE,PRE FAB,GARAGE  ATTACHED,COMMERCIAL
NONE,AVERAGE,PRE FAB,GARAGE  ATTACHED,COMMERCIAL
NONE,AVERAGE,PRE FAB,GARAGE  ATTACHED,COMMERCIAL
PACKAGE,AVERAGE,CONCRETE,GARAGE  ATTACHED,COMMERCIAL
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,EXCELLENT,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,MIXED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  BASEMENT,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,WOOD,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,EXCELLENT,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,EXCELLENT,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
EVAPORATIVE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
OTHER,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  BASEMENT,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,MASONRY,CARPORT,MISCELLANEOUS
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,VERY GOOD,MASONRY,GARAGE  DETACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,GOOD,MASONRY,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,VERY GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
NONE,GOOD,WOOD,GARAGE  ATTACHED,CONVENTIONAL HOUSE
CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,GARAGE  DETACHED,MISCELLANEOUS
CENTRAL,AVERAGE,WOOD,CARPORT,MISCELLANEOUS
NONE,AVERAGE,WOOD,GARAGE  ATTACHED,MISCELLANEOUS
